Circuit: * D:\Deli_sync_ws\Project\Current_probe\Doge_probe_deli\spice\AD8129.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 2.38472e-06 ++++to 2.38472e-06
Heightened Def Con from 2.39707e-06 to 2.39707e-06
Heightened Def Con from 2.39707e-06 to 2.39707e-06
Heightened Def Con from 2.42341e-06 to 2.42341e-06
Heightened Def Con from 2.45573e-06 to 2.45573e-06
Heightened Def Con from 2.46217e-06 to 2.46217e-06
Heightened Def Con from 2.46217e-06 to 2.46217e-06
Heightened Def Con from 2.48068e-06 +++to 2.48068e-06
Heightened Def Con from 2.48286e-06 +to 2.48286e-06
Heightened Def Con from 2.48286e-06 to 2.48286e-06
Heightened Def Con from 2.49935e-06 to 2.49935e-06
Heightened Def Con from 2.50541e-06 to 2.50541e-06
Heightened Def Con from 2.50948e-06 to 2.50948e-06
Heightened Def Con from 2.51557e-06 ++to 2.51557e-06
Heightened Def Con from 2.51757e-06 to 2.51757e-06
Heightened Def Con from 2.53162e-06 to 2.53162e-06
Heightened Def Con from 2.53162e-06 ++to 2.53162e-06
Heightened Def Con from 2.53162e-06 +++to 2.53162e-06
Heightened Def Con from 2.5995e-06 to 2.5995e-06
Heightened Def Con from 2.5995e-06 ++to 2.5995e-06
Heightened Def Con from 2.5995e-06 to 2.5995e-06
Heightened Def Con from 2.5995e-06 +++to 2.5995e-06
Heightened Def Con from 2.5995e-06 to 2.5995e-06
Heightened Def Con from 2.63982e-06 to 2.63982e-06
Heightened Def Con from 2.63982e-06 ++++to 2.63982e-06
Heightened Def Con from 2.66253e-06 to 2.66253e-06
Heightened Def Con from 2.66253e-06 to 2.66253e-06
Heightened Def Con from 2.66253e-06 to 2.66253e-06
Heightened Def Con from 2.68322e-06 to 2.68322e-06
Heightened Def Con from 2.68322e-06 to 2.68322e-06
Heightened Def Con from 2.70781e-06 ++to 2.70781e-06
Heightened Def Con from 2.70781e-06 to 2.70781e-06
Heightened Def Con from 2.72391e-06 ++to 2.72391e-06
Heightened Def Con from 2.72591e-06 +++to 2.72591e-06
Heightened Def Con from 2.80387e-06 ++to 2.80387e-06
Heightened Def Con from 2.80519e-06 to 2.80519e-06
Heightened Def Con from 2.81201e-06 to 2.81201e-06
Heightened Def Con from 2.81201e-06 +++++to 2.81201e-06
Heightened Def Con from 2.82006e-06 to 2.82006e-06
Heightened Def Con from 2.82806e-06 to 2.82806e-06
Heightened Def Con from 2.82806e-06 to 2.82806e-06
Heightened Def Con from 2.91223e-06 to 2.91223e-06
Heightened Def Con from 2.91223e-06 to 2.91223e-06
Heightened Def Con from 2.91223e-06 ++to 2.91223e-06
Heightened Def Con from 2.91223e-06 to 2.91223e-06
Heightened Def Con from 2.92428e-06 to 2.92428e-06
Heightened Def Con from 2.9283e-06 to 2.9283e-06
Heightened Def Con from 2.9283e-06 ++to 2.9283e-06
Heightened Def Con from 2.9283e-06 to 2.9283e-06
Heightened Def Con from 2.9303e-06 to 2.9303e-06
Heightened Def Con from 2.9303e-06 to 2.9303e-06
Heightened Def Con from 2.96716e-06 to 2.96716e-06
Heightened Def Con from 2.96716e-06 to 2.96716e-06
Heightened Def Con from 3.01451e-06 to 3.01451e-06
Heightened Def Con from 3.01451e-06 to 3.01451e-06
Heightened Def Con from 3.02656e-06 to 3.02656e-06
Heightened Def Con from 3.02856e-06 +to 3.02856e-06
Heightened Def Con from 3.02856e-06 to 3.02856e-06
Heightened Def Con from 3.07579e-06 to 3.07579e-06
Heightened Def Con from 3.07579e-06 to 3.07579e-06
Heightened Def Con from 3.07579e-06 to 3.07579e-06
